Constituency,Candidate,Party,Votes,Assembly Constituencies,Margin
Achanta,SATYANARAYANA PITHANI,Telugu Desam,135,Andhra pradesh,26554
Addanki,GOTTIPATI RAVI KUMAR,Telugu Desam,135,Andhra pradesh,24890
Adoni,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata Party,8,Andhra pradesh,18164
Allagadda,AKHILA PRIYA BHUMA,Telugu Desam,135,Andhra pradesh,12037
Alur,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress Party,11,Andhra pradesh,2831
Amadalavalasa,KOONA RAVI KUMAR,Telugu Desam,135,Andhra pradesh,35032
Amalapuram,AITHABATHULA ANANDARAO,Telugu Desam,135,Andhra pradesh,38628
Anakapalle,KONATHALA RAMAKRISHNA,Janasena Party,21,Andhra pradesh,65764
Anantapur Urban,DAGGUPATI PRASAD,Telugu Desam,135,Andhra pradesh,23023
Anaparthy,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata Party,8,Andhra pradesh,20850
Araku Valley,REGAM MATYALINGAM,Yuvajana Sramika Rythu Congress Party,11,Andhra pradesh,31877
Atmakur,ANAM.RAMANARAYANA REDDY,Telugu Desam,135,Andhra pradesh,7576
Avanigadda,BUDDHAPRASAD MANDALI,Janasena Party,21,Andhra pradesh,46434
Badvel,DASARI SUDHA,Yuvajana Sramika Rythu Congress Party,11,Andhra pradesh,18567
Banaganapalle,B.C. JANARDHAN REDDY,Telugu Desam,135,Andhra pradesh,25566
Bapatla,VEGESANA NARENDRA VARMA RAJU,Telugu Desam,135,Andhra pradesh,27768
Bhimavaram,RAMANJANEYULU PULAPARTHI (ANJIBABU),Janasena Party,21,Andhra pradesh,66974
Bhimili,GANTA SRINIVASA RAO,Telugu Desam,135,Andhra pradesh,92401
Bobbili,R.V.S.K.K.RANGA RAO @ BABYNAYANA,Telugu Desam,135,Andhra pradesh,44648
Chandragiri,VENKATA MANI PRASAD PULLIVARTHI,Telugu Desam,135,Andhra pradesh,43852
Cheepurupalle,BOTCHA SATYANARAYANA,Telugu Desam,135,Andhra pradesh,11971
Chilakaluripet,KAVATI SIVA NAGA MANOHAR NAIDU,Telugu Desam,135,Andhra pradesh,33262
Chintalapudi,KAMBHAM VIJAYA RAJU,Telugu Desam,135,Andhra pradesh,27766
Chirala,KARANAM VENKATESH,Telugu Desam,135,Andhra pradesh,20984
Chittoor,M.C. VIJAYANANDA REDDY,Telugu Desam,135,Andhra pradesh,14604
Chodavaram,KARANAM DHARMASRI,Telugu Desam,135,Andhra pradesh,42189
Darsi,GOTTIPATI LAKSHMI,Yuvajana Sramika Rythu Congress Party,11,Andhra pradesh,2456
Denduluru,ABBAYA CHOWDARY KOTHARU,Telugu Desam,135,Andhra pradesh,26266
Dharmavaram,KETHIREDDY VENKATA RAMI REDDY,Bharatiya Janata Party,8,Andhra pradesh,3734
Dhone,BUGGANA RAJA REDDY,Telugu Desam,135,Andhra pradesh,6049
Eluru,ALLA KALI KRISHNA SRINIVAS,Telugu Desam,135,Andhra pradesh,62388
Etcherla,KIRAN KUMAR GORLE,Bharatiya Janata Party,8,Andhra pradesh,29089
Gajapathinagaram,APPALANARASAYYA BOTCHA,Telugu Desam,135,Andhra pradesh,25301
Gajuwaka,AVSS AMARNATH GUDIVADA,Telugu Desam,135,Andhra pradesh,95235
Gangadhara Nellore (SC),K. KRUPALAKSHMI,Telugu Desam,135,Andhra pradesh,26011
Gannavaram,VAMSI VALLABHANENI,Telugu Desam,135,Andhra pradesh,37628
Gannavaram(SC),VIPPARTHI . VENUGOPALARAO,Janasena Party,21,Andhra pradesh,33367
Giddalur,KUNDURU NAGARJUNA REDDY (KP),Telugu Desam,135,Andhra pradesh,973
Gopalapuram,TANETI VANITA,Telugu Desam,135,Andhra pradesh,26784
Gudivada,KODALI SRI VENKATESWARA RAO (NANI),Telugu Desam,135,Andhra pradesh,53040
Uravakonda,Y. VISWESWARA REDDY,Telugu Desam,135,Andhra pradesh,21704
Vemuru (SC),ASHOK BABU VARIKUTI,Telugu Desam,135,Andhra pradesh,22021
Venkatagiri,NEDURUMALLI RAM KUMAR REDDY,Telugu Desam,135,Andhra pradesh,16294
Vijayawada Central,VELAMPALLI SRINIVASA RAO,Telugu Desam,135,Andhra pradesh,68886
Vijayawada East,AVINASH DEVINENI,Telugu Desam,135,Andhra pradesh,49640
Vijayawada West,ASIF SHAIK,Bharatiya Janata Party,8,Andhra pradesh,47032
Vinukonda,BOLLA BRAHMA NAIDU,Telugu Desam,135,Andhra pradesh,30267
Visakhapatnam East,M V V SATYANARAYANA,Telugu Desam,135,Andhra pradesh,70877
Visakhapatnam North,KANNAPARAJU KAMMILA (K.K. RAJU),Bharatiya Janata Party,8,Andhra pradesh,47534
Visakhapatnam South,GANESH KUMAR VASUPALLI,Janasena Party,21,Andhra pradesh,64594
Visakhapatnam West,ADARI ANAND KUMAR,Telugu Desam,135,Andhra pradesh,35184
Vizianagaram,KOLAGATLA VEERABHADRA SWAMY,Telugu Desam,135,Andhra pradesh,60609
Yelamanchili,UPPALAPATI VENKATA RAMANAMURTHY RAJU,Janasena Party,21,Andhra pradesh,48956
Yemmiganur,BUTTA RENUKA,Telugu Desam,135,Andhra pradesh,15837
Yerragondapalem (SC),ERIXION BABU GUDURI,Yuvajana Sramika Rythu Congress Party,11,Andhra pradesh,5200
Gudur,PASIM SUNIL KUMAR,Telugu Desam,135,Andhra pradesh,21192
Guntakal,GUMMANUR JAYARAM,Telugu Desam,135,Andhra pradesh,6826
Guntur East,MOHAMMED NASEER AHMED,Telugu Desam,135,Andhra pradesh,31962
Guntur West,GALLA MADHAVI,Telugu Desam,135,Andhra pradesh,51150
Gurajala,YARAPATHINENI SRINIVASA RAO,Telugu Desam,135,Andhra pradesh,29486
Hindupur,NANDAMURI BALAKRISHNA,Telugu Desam,135,Andhra pradesh,32597
Ichchapuram,ASHOK BENDALAM,Telugu Desam,135,Andhra pradesh,39783
Jaggampeta,JYOTHULA NEHRU,Telugu Desam,135,Andhra pradesh,52676
Jaggayyapeta,RAJAGOPAL SREERAM (TATAIAH),Telugu Desam,135,Andhra pradesh,15977
Jammalamadugu,ADINARAYANA REDDY CHADIPIRALA,Bharatiya Janata Party,8,Andhra pradesh,17191
Kadapa,MADHAVI REDDAPPA GARI,Telugu Desam,135,Andhra pradesh,18860
Kadiri,KANDIKUNTA VENKATA PRASAD,Telugu Desam,135,Andhra pradesh,6265
Kaikalur,KAMINENI SRINIVAS,Bharatiya Janata Party,8,Andhra pradesh,45273
Kakinada City,VANAMADI VENKATESWARA RAO @ KONDABABU,Telugu Desam,135,Andhra pradesh,56572
Kakinada Rural,PANTAM VENKATESWARA RAO (PANTAM NANAJI),Janasena Party,21,Andhra pradesh,72040
Kalyandurg,AMILINENI SURENDRA BABU,Telugu Desam,135,Andhra pradesh,37734
Kamalapuram,KRISHNA CHAITANYA REDDY PUTHA,Telugu Desam,135,Andhra pradesh,25357
Kandukur,INTURI NAGESWARA RAO,Telugu Desam,135,Andhra pradesh,18558
Kanigiri,DR. UGRA NARASIMHA REDDY MUKKU,Telugu Desam,135,Andhra pradesh,14604
Kavali,DAGUMATI VENKATA KRISHNA REDDY,Telugu Desam,135,Andhra pradesh,30948
Kodumur (SC),BOGGULA DASTAGIRI,Telugu Desam,135,Andhra pradesh,21583
Kodur (SC),ARAVA SREEDHAR,Janasena Party,21,Andhra pradesh,11101
Kondapi (SC),DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Telugu Desam,135,Andhra pradesh,24756
Kothapeta,BANDARU SATYANANDA RAO,Telugu Desam,135,Andhra pradesh,56479
Kovur,PRASHANTHI REDDY VEMIREDDY,Telugu Desam,135,Andhra pradesh,54583
Kovvur,MUPPIDI VENKATESWARA RAO,Telugu Desam,135,Andhra pradesh,33946
Kuppam,CHANDRABABU NAIDU NARA,Telugu Desam,135,Andhra pradesh,48006
Kurnool,T.G.BHARATH,Telugu Desam,135,Andhra pradesh,18876
Kurupam,JAGADEESWARI THOYAKA,Telugu Desam,135,Andhra pradesh,23500
Macherla,JULAKANTI BRAHMANANDA REDDY,Telugu Desam,135,Andhra pradesh,33318
Machilipatnam,KOLLU. RAVINDRA,Telugu Desam,135,Andhra pradesh,50242
Madakasira (SC),M.S.RAJU,Telugu Desam,135,Andhra pradesh,351
Madanapalle,M.SHAJAHAN BASHA,Telugu Desam,135,Andhra pradesh,5509
Madugula,BANDARU SATYANARAYANA MURTHY,Telugu Desam,135,Andhra pradesh,28026
Mandapeta,JOGESWARA RAO.V,Telugu Desam,135,Andhra pradesh,44435
Mangalagiri,NARA LOKESH,Telugu Desam,135,Andhra pradesh,91413
Mantralayam,Y. BALANAGI REDDY,Yuvajana Sramika Rythu Congress Party,11,Andhra pradesh,12805
Markapuram,KANDULA NARAYANA REDDY,Telugu Desam,135,Andhra pradesh,13979
Mummidivaram,DATLA SUBBARAJU (BUCHIBABU),Telugu Desam,135,Andhra pradesh,38736
Mydukur,SUDHAKAR PUTTA,Telugu Desam,135,Andhra pradesh,20950
Mylavaram,VASANTHA VENKATA KRISHNA PRASAD,Telugu Desam,135,Andhra pradesh,42829
Nagari,GALI BHANU PRAKASH,Telugu Desam,135,Andhra pradesh,45004
Nandigama (SC),TANGIRALA SOWMYA,Telugu Desam,135,Andhra pradesh,27395
Nandikotkur (SC),G JAYASURYA,Telugu Desam,135,Andhra pradesh,9792
Nandyal,NASYAM MOHAMMED FAROOK,Telugu Desam,135,Andhra pradesh,12333
Narasannapeta,BAGGU RAMANAMURTHY,Telugu Desam,135,Andhra pradesh,29371
Narasapuram,BOMMIDI NARAYANA NAYAKAR,Janasena Party,21,Andhra pradesh,49738
Narasaraopet,ARAVINDA BABU CHADALAVADA,Telugu Desam,135,Andhra pradesh,19705
Narsipatnam,AYYANNAPATRUDU CHINTAKAYALA,Telugu Desam,135,Andhra pradesh,24676
Nellimarla,LOKAM NAGA MADHAVI,Janasena Party,21,Andhra pradesh,39829
Nellore City,NARAYANA PONGURU,Telugu Desam,135,Andhra pradesh,72489
Nellore Rural,KOTAMREDDY SRIDHAR REDDY,Telugu Desam,135,Andhra pradesh,34480
Nidadavole,KANDULA DURGESH,Janasena Party,21,Andhra pradesh,33304
Nuzvid,KOLUSU PARTHA SARATHY,Telugu Desam,135,Andhra pradesh,12378
Ongole,DAMACHARLA JANARDHANA RAO,Telugu Desam,135,Andhra pradesh,34026
Paderu,MATSYARASA VISWESWARA RAJU,Yuvajana Sramika Rythu Congress Party,11,Andhra pradesh,19338
Palacole,DR.NIMMALA RAMANAIDU,Telugu Desam,135,Andhra pradesh,67945
Palakonda,JAYAKRISHNA NIMMAKA,Janasena Party,21,Andhra pradesh,13291
Palamaner,AMARANATHA REDDY. N,Telugu Desam,135,Andhra pradesh,20122
Palasa,GOUTHU SIREESHA,Telugu Desam,135,Andhra pradesh,40350
Pamarru (SC),KUMAR RAJA VARLA,Telugu Desam,135,Andhra pradesh,29690
Panyam,GOWRU CHARITHA REDDY,Telugu Desam,135,Andhra pradesh,40591
Parchur,YELURI SAMBASIVA RAO,Telugu Desam,135,Andhra pradesh,24013
Parvathipuram,BONELA VIJAYA CHANDRA,Telugu Desam,135,Andhra pradesh,24414
Pathapatnam,MAMIDI GOVINDA RAO,Telugu Desam,135,Andhra pradesh,26527
Pattikonda,K.E. SHYAM KUMAR,Telugu Desam,135,Andhra pradesh,14211
Payakaraopet,ANITHA VANGALAPUDI,Telugu Desam,135,Andhra pradesh,43727
Pedakurapadu,BHASHYAM PRAVEEN,Telugu Desam,135,Andhra pradesh,21089
Pedana,KAGITHA KRISHNAPRASAD,Telugu Desam,135,Andhra pradesh,38123
Peddapuram,CHINA RAJAPPA NIMMAKAYALA,Telugu Desam,135,Andhra pradesh,40451
Penamaluru,BODE PRASAD,Telugu Desam,135,Andhra pradesh,59915
Pendurthi,PANCHAKARLA RAMESH BABU,Janasena Party,21,Andhra pradesh,81870
Penukonda,S. SAVITHA,Telugu Desam,135,Andhra pradesh,33388
Pileru,NALLARI KISHAN KUMAR REDDY,Telugu Desam,135,Andhra pradesh,25081
Pithapuram,KONIDALA PAWAN KALYAN,Janasena Party,21,Andhra pradesh,70279
Polavaram,CHIRRI BALARAJU,Janasena Party,21,Andhra pradesh,7935
Ponnur,DHULIPALLA NARENDRA KUMAR,Telugu Desam,135,Andhra pradesh,32915
Prathipadu,VARUPULA SATYA PRABHA,Telugu Desam,135,Andhra pradesh,38768
Prathipadu (SC),BURLA RAMANJANEYULU,Telugu Desam,135,Andhra pradesh,42015
Proddatur,NANDYALA VARADA RAJULA REDDY,Telugu Desam,135,Andhra pradesh,22744
Satyavedu,KONETI ADIMULAM,Telugu Desam,135,Andhra pradesh,3739
Singanamala (SC),BANDARU SRAVANI SREE,Telugu Desam,135,Andhra pradesh,8788
Srikakulam,GONDU SHANKAR,Telugu Desam,135,Andhra pradesh,52521
Srikalahasti,BOJJALA VENKATA SUDHIR REDDY,Telugu Desam,135,Andhra pradesh,43304
Srisailam,BUDDA RAJASEKHARA REDDY,Telugu Desam,135,Andhra pradesh,6385
Srungavarapukota,KOLLA LALITHA KUMARI,Telugu Desam,135,Andhra pradesh,38790
Sullurpeta,NELAVALA VIJAYASREE,Telugu Desam,135,Andhra pradesh,29115
Tadepalligudem,BOLISETTY SRINIVAS,Janasena Party,21,Andhra pradesh,62492
Tadikonda (SC),TENALI SRAVAN KUMAR,Telugu Desam,135,Andhra pradesh,39606
Tadpatri,ASHMIT REDDY J.C,Telugu Desam,135,Andhra pradesh,27731
Tanuku,ARIMILLI RADHA KRISHNA,Telugu Desam,135,Andhra pradesh,72121
Tekkali,ATCHANNAIDU KINJARAPU,Telugu Desam,135,Andhra pradesh,34435
Tenali,NADENDLA MANOHAR,Janasena Party,21,Andhra pradesh,48112
Thamballapalle,P. DWARAKANATHA REDDY,Yuvajana Sramika Rythu Congress Party,11,Andhra pradesh,10103
Tirupati,ARANII SRENEVASULU,Janasena Party,21,Andhra pradesh,61956
Tiruvuru (SC),KOLIKAPUDI SRINIVASA RAO,Telugu Desam,135,Andhra pradesh,21874
Tuni,DIVYA YANAMALA,Telugu Desam,135,Andhra pradesh,15177
Udayagiri,KAKARLA SURESH,Telugu Desam,135,Andhra pradesh,9621
Undi,KANUMURU RAGHU RAMA KRISHNA RAJU (R R R),Telugu Desam,135,Andhra pradesh,56777
Ungutur,DHARMARAJU PATSAMATLA,Janasena Party,21,Andhra pradesh,44945
Anandapur,ABHIMANYU SETHI,Biju Janata Dal,51,odisha,10966
Angul,PRATAP CHANDRA PRADHAN,Bharatiya Janata Party,78,odisha,17433
Aska,SAROJ KUMAR PADHI,Bharatiya Janata Party,78,odisha,8059
Athagarh,RANENDRA PRATAP SWAIN,Biju Janata Dal,51,odisha,3584
Athamallik,NALINI KANTA PRADHAN,Biju Janata Dal,51,odisha,16153
Attabira,NIHAR RANJAN MAHANAND,Bharatiya Janata Party,78,odisha,28910
Aul,PRATAP KESHARI DEB,Biju Janata Dal,51,odisha,19628
Badasahi,SANATAN BIJULI,Bharatiya Janata Party,78,odisha,37387
Balasore,MANAS KUMAR DUTTA,Bharatiya Janata Party,78,odisha,28626
Baliguda,CHAKRAMANI KANHAR,Biju Janata Dal,51,odisha,1671
Balikuda-Erasama,SARADA PRASANNA JENA,Biju Janata Dal,51,odisha,25959
Bangriposi,SANJALI MURMU,Bharatiya Janata Party,78,odisha,34476
Banki,DEVI RANJAN TRIPATHY,Biju Janata Dal,51,odisha,17026
Barabati-Cuttack,SOFIA FIRDOUS,Indian National Congress,14,odisha,8001
Barachana,AMAR KUMAR NAYAK,Bharatiya Janata Party,78,odisha,6310
Baramba,BIJAYA KUMAR DALABEHERA,Independent,3,odisha,23479
Bargarh,ASHWINI KUMAR SARANGI,Bharatiya Janata Party,78,odisha,4772
Bari,BISWA RANJAN MALLICK,Biju Janata Dal,51,odisha,51465
Baripada,PRAKASH SOREN,Bharatiya Janata Party,78,odisha,29385
Basta,SUBASINI JENA,Biju Janata Dal,51,odisha,20377
Talcher,BRAJA KISHORE PRADHAN,Biju Janata Dal,51,odisha,32122
Talsara,BHABANI SHANKAR BHOI,Bharatiya Janata Party,78,odisha,17189
Telkoi,DR. FAKIR MOHAN NAIK,Bharatiya Janata Party,78,odisha,9439
Tirtol,RAMAKANTA BHOI,Biju Janata Dal,51,odisha,28495
Titlagarh,NABIN KUMAR JAIN,Bharatiya Janata Party,78,odisha,17399
Udala,BHASKAR MADHEI,Bharatiya Janata Party,78,odisha,6517
Umerkote,NITYANANDA GOND,Bharatiya Janata Party,78,odisha,10373
Basudevpur,ASHOK KUMAR DAS,Indian National Congress,14,odisha,631
Begunia,PRADIP KUMAR SAHU S/O-LAXMIDHAR SAHU,Biju Janata Dal,51,odisha,47814
Berhampur,K. ANIL KUMAR,Bharatiya Janata Party,78,odisha,18709
